                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    127,                0.46579,                0.33135,                0.82523,                0.81058,                0.78679,                0.81881,                0.72655,                0.63466,                0.82538,                0.83041,             0.00048664,             0.00048664,             0.00048664
                    128,                0.47082,                0.33163,                0.82684,                0.82022,                0.74997,                0.84265,                0.74543,                 0.6232,                0.66575,                0.82862,             0.00048389,             0.00048389,             0.00048389
                    129,                0.46823,                0.33124,                0.82501,                0.86426,                0.74754,                0.83623,                0.74267,                0.61589,                0.77951,                0.82347,             0.00048114,             0.00048114,             0.00048114
                    130,                 0.4632,                0.32464,                0.82387,                0.88911,                0.78693,                0.83607,                0.74247,                 0.6269,                0.78561,                 0.8318,             0.00047839,             0.00047839,             0.00047839
                    131,                0.46914,                0.32739,                0.82591,                0.87784,                0.78602,                0.82567,                 0.7386,                0.61306,                0.72285,                0.82759,             0.00047564,             0.00047564,             0.00047564
                    132,                0.45676,                0.32218,                0.82098,                0.85611,                0.81041,                0.85491,                0.74921,                0.61442,                0.66559,                0.82561,             0.00047289,             0.00047289,             0.00047289
                    133,                0.45761,                0.32194,                0.82434,                0.89992,                0.76491,                0.83183,                0.74137,                0.61842,                0.82926,                0.82524,             0.00047015,             0.00047015,             0.00047015
                    134,                 0.4609,                0.32426,                0.82462,                0.88614,                0.78896,                0.83517,                0.73805,                0.63191,                0.81217,                0.83148,              0.0004674,              0.0004674,              0.0004674
                    135,                0.45808,                0.32229,                 0.8236,                0.86656,                0.77655,                0.82123,                0.72933,                0.63263,                0.84795,                0.82887,             0.00046465,             0.00046465,             0.00046465
                    136,                0.46635,                0.32391,                0.82436,                0.86342,                0.79102,                0.82093,                0.72504,                0.63971,                0.70373,                0.82746,              0.0004619,              0.0004619,              0.0004619
                    137,                0.46082,                0.32423,                0.82241,                 0.8614,                0.77431,                0.81641,                0.71853,                 0.6318,                0.75937,                0.82913,             0.00045915,             0.00045915,             0.00045915
                    138,                 0.4574,                0.31574,                0.82501,                0.84438,                 0.7853,                0.81361,                0.72121,                0.63848,                0.80131,                0.83236,              0.0004564,              0.0004564,              0.0004564
